timestamp,user_id,action,ip_address,status
2024-06-06 16:33:44,user_96,delete,192.168.1.47,success
2024-12-13 15:51:05,user_57,delete,192.168.1.10,success
2024-04-13 16:31:36,user_90,delete,192.168.1.23,success
2024-05-03 00:34:51,user_89,login,192.168.1.19,success
2024-01-23 10:33:31,user_40,read,192.168.1.34,success
2024-08-19 16:36:13,user_79,update,192.168.1.12,success
2024-10-10 01:36:19,user_15,write,192.168.1.14,success
2024-05-28 16:34:25,user_84,login,192.168.1.18,failure
2024-01-19 13:22:35,user_51,write,192.168.1.36,success
2024-01-13 17:20:36,user_47,logout,192.168.1.23,success
2024-10-22 15:32:23,user_20,login,192.168.1.15,success
2024-11-14 10:14:09,user_46,write,192.168.1.5,success
2024-11-30 06:45:43,user_54,update,192.168.1.30,success
2024-01-06 13:09:40,user_56,read,192.168.1.47,success
2024-09-30 07:09:31,user_98,delete,192.168.1.8,success
2024-01-20 23:48:09,user_19,write,192.168.1.40,success
2024-04-23 07:03:21,user_65,logout,192.168.1.50,success
2024-09-27 00:15:35,user_55,delete,192.168.1.48,success
2024-01-19 09:25:29,user_62,logout,192.168.1.15,success
2024-08-08 01:41:54,user_26,logout,192.168.1.25,success
2024-07-01 18:24:31,user_27,read,192.168.1.46,success
2024-01-23 09:16:52,user_62,logout,192.168.1.43,success
2024-03-24 08:18:30,user_52,read,192.168.1.12,success
2024-08-18 16:19:14,user_87,update,192.168.1.33,success
2024-07-13 15:16:57,user_11,logout,192.168.1.39,success
2024-07-04 01:12:18,user_61,write,192.168.1.21,success
2024-01-05 16:52:53,user_83,update,192.168.1.50,success
2024-05-26 10:22:21,user_37,delete,192.168.1.31,success
2024-02-16 17:37:00,user_79,read,192.168.1.16,success
2024-02-23 12:26:23,user_95,update,192.168.1.11,success
2024-02-26 02:03:45,user_40,logout,192.168.1.46,success
2024-02-14 21:02:54,user_85,update,192.168.1.39,success
2024-07-19 19:38:10,user_60,write,192.168.1.32,success
2024-12-02 08:34:36,user_28,logout,192.168.1.45,success
2024-04-26 20:20:43,user_63,read,192.168.1.18,success
2024-02-20 13:13:32,user_21,update,192.168.1.2,success
2024-09-22 22:28:28,user_39,read,192.168.1.32,success
2024-03-20 09:46:03,user_12,write,192.168.1.40,success
2024-10-11 22:04:18,user_91,read,192.168.1.47,success
2024-04-20 19:22:07,user_1,login,192.168.1.44,success
2024-09-28 09:54:56,user_19,write,192.168.1.6,success
2024-05-06 15:04:50,user_50,write,192.168.1.28,success
2024-02-26 00:28:39,user_23,logout,192.168.1.31,success
2024-01-07 02:43:07,user_81,login,192.168.1.33,success
2024-07-14 06:16:10,user_13,logout,192.168.1.35,success
2024-05-08 16:39:04,user_23,update,192.168.1.26,success
2024-03-06 11:41:29,user_14,login,192.168.1.39,success
2024-11-01 01:31:25,user_63,update,192.168.1.13,success
2024-03-08 00:02:38,user_13,delete,192.168.1.25,success
2024-11-16 11:27:50,user_96,update,192.168.1.43,success
2024-06-29 17:14:36,user_31,delete,192.168.1.16,success
2024-11-08 09:02:34,user_89,update,192.168.1.20,success
2024-01-03 09:19:16,user_52,read,192.168.1.38,success
2024-04-05 06:12:37,user_49,read,192.168.1.34,success
2024-05-07 06:17:52,user_24,update,192.168.1.4,success
2024-10-03 23:30:03,user_13,update,192.168.1.21,success
2024-04-22 17:20:29,user_37,write,192.168.1.21,success
2024-12-26 06:34:28,user_44,logout,192.168.1.33,success
2024-02-10 07:40:06,user_97,read,192.168.1.35,success
2024-01-26 01:01:01,user_71,write,192.168.1.12,success
2024-05-09 18:58:44,user_62,login,192.168.1.6,success
2024-12-10 16:02:51,user_24,login,192.168.1.16,success
2024-07-11 05:38:17,user_63,read,192.168.1.16,success
2024-11-15 16:32:54,user_49,delete,192.168.1.4,success
2024-10-06 00:14:44,user_83,read,192.168.1.27,success
2024-05-27 00:59:21,user_41,login,192.168.1.49,success
2024-09-09 19:12:06,user_33,login,192.168.1.11,success
2024-08-29 22:17:42,user_46,logout,192.168.1.36,success
2024-01-18 00:04:45,user_49,logout,192.168.1.8,success
2024-05-15 05:10:10,user_24,write,192.168.1.34,success
2024-06-11 03:47:40,user_42,delete,192.168.1.46,failure
2024-12-22 00:11:36,user_51,write,192.168.1.43,success
2024-01-19 17:04:45,user_30,update,192.168.1.17,failure
2024-01-16 13:11:01,user_9,write,192.168.1.17,success
2024-06-15 09:30:57,user_53,update,192.168.1.14,success
2024-01-31 03:37:31,user_13,update,192.168.1.16,success
2024-09-27 01:05:53,user_19,write,192.168.1.32,success
2024-06-04 18:29:41,user_77,login,192.168.1.12,success
2024-07-16 20:23:13,user_97,update,192.168.1.39,success
2024-05-09 22:08:10,user_45,login,192.168.1.33,success
2024-09-24 00:46:14,user_5,read,192.168.1.13,success
2024-09-27 19:33:11,user_3,login,192.168.1.49,success
2024-11-30 16:34:14,user_90,read,192.168.1.47,success
2024-02-15 17:01:20,user_26,read,192.168.1.6,failure
2024-01-29 04:49:58,user_59,logout,192.168.1.20,success
2024-05-15 06:42:35,user_86,logout,192.168.1.43,success
2024-08-21 04:57:50,user_93,read,192.168.1.35,success
2024-09-22 01:21:48,user_23,logout,192.168.1.42,success
2024-03-21 04:53:35,user_4,logout,192.168.1.13,success
2024-09-02 05:11:44,user_41,update,192.168.1.46,success
2024-01-03 23:58:42,user_3,write,192.168.1.41,success
2024-08-15 02:59:07,user_74,update,192.168.1.25,success
2024-05-19 01:55:11,user_23,logout,192.168.1.33,success
2024-06-28 11:49:32,user_69,login,192.168.1.3,success
2024-10-14 03:33:33,user_32,read,192.168.1.33,success
2024-04-29 23:27:33,user_51,logout,192.168.1.38,failure
2024-10-21 10:45:28,user_40,update,192.168.1.12,success
2024-07-04 01:24:41,user_37,logout,192.168.1.38,success
2024-01-03 02:57:51,user_92,delete,192.168.1.45,success
2024-12-06 19:56:42,user_68,write,192.168.1.4,success
2024-05-13 23:02:57,user_85,login,192.168.1.29,success
2024-11-04 02:16:51,user_28,update,192.168.1.50,success
2024-06-08 09:00:57,user_54,login,192.168.1.13,success
2024-02-29 11:22:28,user_54,read,192.168.1.26,success
2024-05-08 13:29:37,user_53,login,192.168.1.26,success
