timestamp,user_id,file_path,access_type,status
2024-08-22 03:13:02,user_74,/etc/passwd,execute,granted
2024-04-11 04:48:24,user_58,/var/log/syslog,execute,granted
2024-09-09 03:06:25,user_44,/etc/passwd,read,granted
2024-05-16 00:11:45,user_7,/data/backup.zip,execute,granted
2024-03-28 16:14:45,user_1,/etc/passwd,execute,granted
2024-11-12 00:27:08,user_40,/data/backup.zip,execute,granted
2024-07-23 19:53:57,user_95,/data/backup.zip,write,granted
2024-04-22 20:12:54,user_95,/home/docs/report.pdf,write,granted
2024-12-21 07:22:38,user_84,/home/docs/report.pdf,execute,granted
2024-12-17 12:38:09,user_23,/etc/passwd,read,granted
2024-10-14 22:53:46,user_89,/etc/passwd,write,denied
2024-07-14 08:17:18,user_75,/var/log/syslog,read,granted
2024-06-05 21:42:05,user_54,/var/log/syslog,read,denied
2024-07-08 16:14:29,user_62,/home/docs/report.pdf,execute,granted
2024-04-15 10:16:26,user_4,/home/docs/report.pdf,execute,granted
2024-05-03 15:06:58,user_30,/data/backup.zip,write,granted
2024-09-24 05:14:57,user_42,/var/log/syslog,read,granted
2024-07-06 07:12:57,user_89,/etc/passwd,read,granted
2024-04-02 11:43:17,user_26,/var/log/syslog,write,granted
2024-09-17 07:33:00,user_14,/etc/passwd,read,granted
2024-08-26 03:09:14,user_85,/home/docs/report.pdf,read,granted
2024-02-10 20:54:48,user_16,/data/backup.zip,execute,granted
2024-05-15 00:08:14,user_7,/etc/passwd,read,granted
2024-08-24 00:00:47,user_22,/home/docs/report.pdf,execute,granted
2024-09-11 04:57:00,user_54,/var/log/syslog,read,granted
2024-07-22 21:10:03,user_74,/var/log/syslog,execute,granted
2024-08-22 23:34:33,user_93,/var/log/syslog,execute,granted
2024-07-08 15:20:11,user_28,/data/backup.zip,read,granted
2024-12-02 01:38:49,user_44,/home/docs/report.pdf,write,granted
2024-08-20 07:21:11,user_64,/etc/passwd,read,denied
2024-04-15 10:15:50,user_38,/data/backup.zip,write,granted
2024-03-08 07:45:40,user_72,/data/backup.zip,write,granted
2024-09-11 19:18:40,user_28,/data/backup.zip,execute,granted
2024-07-15 16:26:26,user_47,/var/log/syslog,write,denied
2024-01-16 15:52:04,user_40,/etc/passwd,write,granted
2024-09-28 13:10:38,user_14,/data/backup.zip,read,granted
2024-06-19 03:46:41,user_39,/var/log/syslog,execute,granted
2024-06-27 21:28:30,user_9,/etc/passwd,read,granted
2024-01-21 00:23:30,user_19,/home/docs/report.pdf,execute,granted
2024-04-17 21:39:08,user_99,/home/docs/report.pdf,read,denied
2024-04-10 17:28:49,user_78,/home/docs/report.pdf,write,granted
2024-10-01 07:27:30,user_41,/home/docs/report.pdf,read,granted
2024-10-20 02:55:22,user_14,/etc/passwd,write,denied
2024-01-09 23:01:58,user_74,/data/backup.zip,write,granted
2024-10-30 16:44:04,user_82,/etc/passwd,write,granted
2024-08-24 12:11:58,user_90,/home/docs/report.pdf,read,granted
2024-09-26 08:40:37,user_35,/var/log/syslog,write,granted
